,observation_date,percent_manufacturing,real_wages_manufacturing,real_wages_all,gini,cpi
261,1985-10-01,0.15246459167420034,8.71889400921659,8.101382488479262,37.6,9.46
262,1985-11-01,0.15238300254014725,8.706422018348624,8.08256880733945,37.6,9.49
263,1985-12-01,0.15206181136875396,8.721461187214613,8.100456621004566,37.6,9.55
264,1986-01-01,0.1515743645120927,8.671519563239308,8.052775250227478,37.6,9.53
265,1986-02-01,0.1511182217963416,8.714676390154969,8.094804010938924,37.6,9.56
266,1986-03-01,0.1503497696638799,8.780934922089827,8.148487626031164,37.6,9.58
267,1986-04-01,0.1501585461488629,8.794848206071757,8.169273229070837,37.6,9.56
268,1986-05-01,0.14969198829215166,8.79816513761468,8.1651376146789,37.6,9.59
269,1986-06-01,0.14845364316926934,8.756855575868371,8.153564899451553,37.6,9.58
270,1986-07-01,0.14811773569572248,8.767123287671232,8.136986301369863,37.6,9.6
271,1986-08-01,0.14802369868810833,8.768248175182482,8.156934306569342,37.6,9.61
272,1986-09-01,0.14779340343764516,8.727272727272727,8.127272727272727,37.6,9.6
273,1986-10-01,0.14746532113807417,8.729582577132486,8.130671506352087,37.6,9.62
274,1986-11-01,0.1472764974627847,8.731884057971016,8.16123188405797,37.6,9.64
275,1986-12-01,0.14735564155095227,8.71841155234657,8.131768953068592,37.6,9.66
276,1987-01-01,0.14695611931507427,8.680430879712747,8.096947935368043,37.2,9.67
277,1987-02-01,0.14689981699434193,8.66726296958855,8.094812164579606,37.2,9.69
278,1987-03-01,0.14678460635532825,8.654188948306595,8.083778966131907,37.2,9.71
279,1987-04-01,0.14685426023999465,8.615794143744456,8.05678793256433,37.2,9.71
280,1987-05-01,0.14617358842743816,8.610619469026549,8.061946902654867,37.2,9.73
281,1987-06-01,0.14657651031393132,8.581497797356828,8.026431718061673,37.2,9.74
282,1987-07-01,0.14672816133175426,8.558875219683657,8.014059753954307,37.2,9.74
283,1987-08-01,0.14652836649545373,8.57392825896763,8.031496062992126,37.2,9.8
284,1987-09-01,0.14741148728033263,8.587619877942458,8.012205754141236,37.2,9.85
285,1987-10-01,0.14711764266569302,8.556521739130435,8.017391304347827,37.2,9.84
286,1987-11-01,0.14746142359382777,8.552859618717504,8.032928942807626,37.2,9.87
